cid,iupac_name,canonical_smiles,mol_wt_rdkit,heavy_atom_count,C_count,O_count,N_count,S_count,halogen_count,aromatic_ring_count
112215,4-cyclohex-3-en-1-ylpyridine,C1CC(CC=C1)C2=CC=NC=C2,159.23199999999997,12,11,0,1,0,0,1
962644,N-[(2-hydroxy-1H-indol-3-yl)imino]-2-quinolin-8-yloxyacetamide,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=O)COC3=CC=CC4=C3N=CC=C4,346.34600000000006,26,19,3,4,0,0,4
100993,"11-methyldodecyl 3,5,5-trimethylhexanoate",CC(C)CCCCCCCCCCOC(=O)CC(C)CC(C)(C)C,340.5920000000001,24,22,2,0,0,0,0
252675,"2-chloro-N-(2-chloroethyl)ethanamine;2,4,6-trinitrophenol",C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-].C(CCl)NCCCl,371.13300000000004,23,10,7,4,0,2,1
201256,"N-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-2-hydroxybenzamide",CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CC=CC=C3O,323.3520000000001,24,18,3,3,0,0,3
649888,1-[(4-methylphenyl)-[1-[(4-methylphenyl)sulfonylmethyl]tetrazol-5-yl]methyl]piperidine-4-carboxamide,CC1=CC=C(C=C1)C(C2=NN=NN2CS(=O)(=O)C3=CC=C(C=C3)C)N4CCC(CC4)C(=O)N,468.5830000000003,33,23,3,6,1,0,3
552030,"[17-(5-hydroxy-6-methoxy-6-methylheptan-2-yl)-4,4,10,13,14-pentamethyl-2,3,5,6,7,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate",CC(CCC(C(C)(C)OC)O)C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)OC(=O)C)C)C)C,516.8070000000004,37,33,4,0,0,0,0
264680,"4-(5-morpholin-4-yl-3-phenyl-[1,2,4]triazolo[4,3-a][1,3,5]triazin-7-yl)morpholine",C1COCCN1C2=NC3=NN=C(N3C(=N2)N4CCOCC4)C5=CC=CC=C5,367.4130000000001,27,18,2,7,0,0,3
854815,"ethyl 2-(2-methyl-1,3-thiazol-4-yl)acetate",CCOC(=O)CC1=CSC(=N1)C,185.248,12,8,2,1,1,0,1
371659,1-hydroxy-2-[(4-hydroxy-3-methoxyphenyl)methylideneamino]guanidine;4-methylbenzenesulfonic acid,CC1=CC=C(C=C1)S(=O)(=O)O.COC1=C(C=CC(=C1)C=NN=C(N)NO)O,396.42500000000007,27,16,6,4,1,0,2
280311,N-methyl-N-(2-methyl-5-nitrophenyl)acetamide,CC1=C(C=C(C=C1)[N+](=O)[O-])N(C)C(=O)C,208.21699999999998,15,10,3,2,0,0,1
833552,N-[benzyl(methyl)carbamothioyl]-2-naphthalen-1-ylacetamide,CN(CC1=CC=CC=C1)C(=S)NC(=O)CC2=CC=CC3=CC=CC=C32,348.471,25,21,1,2,1,0,3
416177,"2-fluoro-N-(2-fluoroethyl)-N-[(3,4,5-trimethoxyphenyl)methyl]ethanamine",COC1=CC(=CC(=C1OC)OC)CN(CCF)CCF,289.32199999999995,20,14,3,1,0,2,1
391173,"N-[[3-(aminomethyl)-5-[(4,5-dihydro-1H-imidazol-2-ylamino)methyl]-2,4,6-triethylphenyl]methyl]-4,5-dihydro-1H-imidazol-2-amine",CCC1=C(C(=C(C(=C1CNC2=NCCN2)CC)CNC3=NCCN3)CC)CN,385.5600000000002,28,21,0,7,0,0,1
481295,N-[(2S)-4-[cyclopentylmethyl(oxolan-3-ylmethylsulfonyl)amino]-2-hydroxybutyl]-4-methoxy-N-(2-methylpropyl)benzenesulfonamide,CC(C)CN(CC(CCN(CC1CCCC1)S(=O)(=O)CC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)OC,560.7790000000003,37,26,7,2,2,0,1
592448,1-(4-dodecoxy-2-hydroxyphenyl)ethanone,CCCCCCCCCCCCOC1=CC(=C(C=C1)C(=O)C)O,320.473,23,20,3,0,0,0,1
255022,N-chloro-N-(2-nitro-4-phenyldiazenylphenyl)acetamide,CC(=O)N(C1=C(C=C(C=C1)N=NC2=CC=CC=C2)[N+](=O)[O-])Cl,318.72,22,14,3,4,0,1,2
731106,2-(2-nitrophenoxy)-N-(4-propan-2-yloxyphenyl)acetamide,CC(C)OC1=CC=C(C=C1)NC(=O)COC2=CC=CC=C2[N+](=O)[O-],330.34000000000003,24,17,5,2,0,0,2
236829,"2-acetamido-2-[3-(2,4-difluorophenyl)-3-oxopropyl]propanedioic acid",CC(=O)NC(CCC(=O)C1=C(C=C(C=C1)F)F)(C(=O)O)C(=O)O,329.25500000000005,23,14,6,1,0,2,1
314547,"4-benzoyl-3-hydroxy-1,3,5-triphenylspiro[5.5]undecan-11-one",C1CCC2(C(CC(C(C2C3=CC=CC=C3)C(=O)C4=CC=CC=C4)(C5=CC=CC=C5)O)C6=CC=CC=C6)C(=O)C1,514.6650000000001,39,36,3,0,0,0,4
717270,"(5Z)-5-[(3-chloro-4-hydroxy-5-methoxyphenyl)methylidene]-2-phenyl-1,3-thiazol-4-one",COC1=C(C(=CC(=C1)C=C2C(=O)N=C(S2)C3=CC=CC=C3)Cl)O,345.80699999999996,23,17,3,1,1,1,2
868287,"N-(1,3-benzodioxol-5-ylmethyl)-3-(4-fluorophenyl)prop-2-enamide",C1OC2=C(O1)C=C(C=C2)CNC(=O)C=CC3=CC=C(C=C3)F,299.301,22,17,3,1,0,1,2
889054,N-[(2-chlorophenyl)methyl]-N-(furan-2-ylmethyl)methanesulfonamide,CS(=O)(=O)N(CC1=CC=CC=C1Cl)CC2=CC=CO2,299.77900000000005,19,13,3,1,1,1,2
685492,"(2R)-6,8-dibromo-2-methyl-1,2,3,5-tetrahydro-1,5-benzodiazepin-4-one",CC1CC(=O)NC2=C(N1)C=C(C=C2Br)Br,334.01099999999997,15,10,1,2,0,2,1
